Metric,Value
Report date,8 Sep 2026
Domain,mahadevbooks.today
SEO status,Technical setup mostly Done; indexing recovery In Progress; traffic still very low
Indexed pages (GSC),4
Not indexed pages (GSC),22
Clicks (last ~3 months),1
Impressions (last ~3 months),15
Sitemap,Success - 17 pages discovered
Tasks Done,18
Tasks In Progress,2
Tasks Partial,5
Tasks Not Started,3
Total SEO hours spent,37.25
Hours for client report,37.25 hrs (range 35-40 hrs)
Next focus,Request indexing for main URLs; weekly GSC check; CWV/speed; stronger internal links
